filename,title,feature,role
./help/configuration-and-setup/marketo-measure-and-salesforce/best-practices-for-marketo-measure-crm-package.md,Best Practices for [!DNL Marketo Measure] CRM Package,Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-salesforce-objects.md,"""[!DNL Marketo Measure] Salesforce Objects""",Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/how-marketo-measure-and-salesforce-interact.md,How [!DNL Marketo Measure] and [!DNL Salesforce] Interact,Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-object-and-field-taxonomy.md,"""[!DNL Marketo Measure] Object and Field Taxonomy""",Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-fields-on-standard-salesforce-objects.md,"""[!DNL Marketo Measure] Fields on Standard [!DNL Salesforce] Objects""",Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/page-layout-instructions.md,Page Layout Instructions,Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/hiding-unnecessary-report-types.md,Hiding Unnecessary Report Types,Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/creating-a-marketo-measure-profile.md,Creating a [!DNL Marketo Measure] Profile,Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-permission-sets.md,"""[!DNL Marketo Measure] Permission Sets""",Salesforce,
./help/configuration-and-setup/marketo-measure-and-salesforce/recommended-salesforce-permissions-for-marketo-measure-connected-user.md,Recommended [!DNL Salesforce] Permissions for [!DNL Marketo Measure] Connected User,Salesforce,
./help/configuration-and-setup/sandbox-testing/testing-the-marketo-measure-integration-with-a-salesforce-sandbox.md,Testing the Marketo Measure Integration with a Salesforce Sandbox,Salesforce,
./help/configuration-and-setup/sandbox-testing/salesforce-sandbox-to-production-migration.md,Salesforce Sandbox to Production Migration,Salesforce,
./help/configuration-and-setup/marketo-measure-insights-canvas-app/marketo-measure-insights-explained.md,"""[!DNL Marketo Measure] Insights Explained""",Reporting,
./help/configuration-and-setup/marketo-measure-insights-canvas-app/marketo-measure-insights-configuration.md,"""[!DNL Marketo Measure] Insights Configuration""",Reporting,
